TOTAL COST,REGULAR VEHICLE COST,MRT OUTSOURCE COST,LOWER BOUND,GAP,RUNTIME,INSTANCE NAME
1129.5400000000002,1129.54,0.0,712.16,0.5860761626600767,14405.826999902725,A-n53-k7-m0-b2
804.62,794.62,10.0,718.5405364806828,0.11979764418152815,14410.517999887466,A-n53-k7-m1-b2
761.8599999999999,740.86,21.0,687.4733567071711,0.1082029471645601,14408.18700003624,A-n53-k7-m2-b2
823.1200000000001,759.1199999999999,64.0,690.6519158689069,0.1918015154774971,14436.081000089645,A-n53-k7-m3-b2
878.25,878.25,0.0,767.690116110441,0.14401629195087065,14404.221999883652,A-n54-k7-m0-b2
1529.4299999999998,1529.43,0.0,764.9673069056882,0.9993403459117517,14413.198000192642,A-n54-k7-m1-b2
1499.85,1477.8500000000001,22.0,743.7515962313037,1.0166007140017657,14415.766000032425,A-n54-k7-m2-b2
1442.9799999999998,1411.98,31.0,734.9972003181579,0.963245573419025,14404.763999938965,A-n54-k7-m3-b2
928.12,928.12,0.0,758.45,0.22370624299558303,14410.022000074387,A-n55-k9-m0-b4
1646.78,1646.78,0.0,750.8396238058752,1.193251325300014,14412.115000009537,A-n55-k9-m1-b4
1809.4499999999998,1809.4499999999998,0.0,750.0132037353643,1.412557526971817,14406.533999919891,A-n55-k9-m2-b4
838.3700000000001,833.37,5.0,752.1858501820302,0.11457826519484939,14410.892999887466,A-n55-k9-m3-b4
186.23,186.23,0.0,186.23,0.0,0.019999980926513672,A-n6-k2-m0-b1
70.67,58.67,12.0,70.67,0.0,0.006000041961669922,A-n6-k2-m1-b1
70.66999999999999,58.67,12.0,70.67,-2.0108751542665918e-16,0.010999917984008789,A-n6-k2-m2-b1
70.66999999999999,58.67,12.0,70.67,-2.0108751542665918e-16,0.013000011444091797,A-n6-k2-m3-b1
1874.2700000000002,1874.27,0.0,918.07,1.0415327807247814,14402.888000011444,A-n60-k9-m0-b4
1988.2800000000002,1988.2800000000002,0.0,922.3516591368526,1.1556637105858907,14404.33799982071,A-n60-k9-m1-b4
1619.7,1619.7000000000003,0.0,864.5749807149257,0.8734060505205158,14409.088000059128,A-n60-k9-m2-b4
1136.8600000000001,1071.86,65.0,847.3592737852266,0.3416505078436788,14401.361000061035,A-n60-k9-m3-b4
1756.74,1756.7400000000007,0.0,664.52,1.6436224643351593,14402.456000089645,A-n61-k9-m0-b4
1855.6,1855.6000000000008,0.0,670.3569067795002,1.7680776929928175,14410.671999931335,A-n61-k9-m1-b4
1754.73,1699.73,55.0,661.6226436963718,1.6521613441109355,14402.28099989891,A-n61-k9-m2-b4
1846.47,1832.4699999999996,14.0,656.4236478780406,1.812924253976698,14416.896000146866,A-n61-k9-m3-b4
1640.9300000000003,1640.9299999999998,0.0,780.48,1.1024625871258715,14405.835999965668,A-n62-k8-m0-b3
1433.1000000000001,1433.0999999999995,0.0,784.2562995732214,0.827336293989437,14409.383000135422,A-n62-k8-m1-b3
1875.65,1875.6499999999996,0.0,770.2929928932679,1.4349825550858815,14406.966000080109,A-n62-k8-m2-b3
1019.68,878.6800000000001,141.0,771.2005782217814,0.3221981787813974,14414.106999874115,A-n62-k8-m3-b3
1999.1699999999998,1999.1699999999996,0.0,826.6001510493508,1.4185454085171618,14419.490000009537,A-n63-k10-m0-b6
2018.4799999999998,2018.48,0.0,834.1251961587899,1.419876547663653,14422.489999771118,A-n63-k10-m1-b6
1862.92,1856.9199999999994,6.0,814.8819876573584,1.2861224425337534,14417.080999851227,A-n63-k10-m2-b6
2048.08,2022.0799999999997,26.0,815.4058116500582,1.5117309329148607,14424.976000070572,A-n63-k10-m3-b6
2327.16,2327.1600000000003,0.0,1073.95,1.1669165231156011,14407.088000059128,A-n63-k9-m0-b4
2042.8200000000002,2042.82,0.0,1017.5122922277388,1.0076612495043724,14404.914000034332,A-n63-k9-m1-b4
2359.39,2288.3900000000003,71.0,1020.0243797030865,1.3130721646935362,14424.599999904633,A-n63-k9-m2-b4
2172.6,2025.5999999999997,147.0,1005.6372205266213,1.1604212291011626,14420.361999988556,A-n63-k9-m3-b4
1852.3999999999999,1852.3999999999996,0.0,856.99,1.1615188041867464,14425.131999969482,A-n64-k9-m0-b4
2051.51,2051.51,0.0,843.3828223360608,1.4324778092083783,14403.306999921799,A-n64-k9-m1-b4
1955.1400000000006,1921.1400000000003,34.0,839.476147197897,1.3290000633443828,14494.075999975204,A-n64-k9-m2-b4
2075.73,1972.7300000000002,103.0,841.9305884757118,1.4654407719739013,14452.054000139236,A-n64-k9-m3-b4
1928.27,1928.2699999999995,0.0,815.34,1.3649888390119458,14415.285999774933,A-n65-k9-m0-b4
1996.5200000000002,1996.5200000000007,0.0,825.2710550289966,1.4192294008540636,14408.484999895096,A-n65-k9-m1-b4
1973.4499999999998,1961.4499999999996,12.0,762.5217337935121,1.5880573792725523,9.205999851226807,A-n65-k9-m2-b4
1990.02,1879.0200000000002,111.0,808.5617377741117,1.4611849745429737,14423.102999925613,A-n65-k9-m3-b4
2021.1499999999999,2021.1500000000008,0.0,715.86,1.8233872544911016,14415.822000026703,A-n69-k9-m0-b4
1430.23,1430.2299999999998,0.0,689.0702521938144,1.075593882403909,14404.289999961853,A-n69-k9-m1-b4
1992.8600000000001,1992.8599999999997,0.0,685.87812009991,1.905559955330993,14432.619999885559,A-n69-k9-m2-b4
2070.8900000000003,1989.89,81.0,677.7355686637533,2.0556017652770358,14412.28200006485,A-n69-k9-m3-b4
245.85999999999999,245.86,0.0,245.85999999999999,0.0,0.04400014877319336,A-n7-k2-m0-b1
162.96,141.96,21.0,162.95999999999998,1.7440911530684837e-16,0.026000022888183594,A-n7-k2-m1-b1
162.95999999999998,141.95999999999998,21.0,162.95999999999998,0.0,0.056999921798706055,A-n7-k2-m2-b1
