,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
34,A-n18-k4-m2-b1,359.74,359.739993655075,10694.235,1.7637529876709723e-06,2
35,A-n18-k4-m3-b1,327.55,327.5499990263039,2657.953,2.972664030839065e-07,2
36,A-n19-k4-m0-b1,457.40999999999997,352.33,14416.171999999999,22.972825255241467,0
37,A-n19-k4-m1-b1,394.8299997633201,360.4041771892719,14407.469,8.719150671095074,1
38,A-n19-k4-m2-b1,377.02000000000004,364.9761017433706,14404.219,3.194498503164145,2
39,A-n19-k4-m3-b1,336.92,336.9199986758617,4382.968,3.9301268506828504e-07,3
40,A-n20-k4-m0-b1,476.5199999999999,383.98,14412.656,19.41996138672037,0
41,A-n20-k4-m1-b1,439.84,386.2865554255541,14406.469,12.175664917798711,1
42,A-n20-k4-m2-b1,406.90000000000003,338.6044583485564,14408.530999999999,16.784355284208306,1
43,A-n20-k4-m3-b1,361.7099999999999,361.71,9566.671,1.5715191413233813e-14,3
44,A-n21-k4-m0-b1,507.03999999999996,335.19,14421.031,33.89278952350899,0
45,A-n21-k4-m1-b1,444.23999999999995,298.2941964285716,14420.39,32.85291814591851,1
46,A-n21-k4-m2-b1,444.24,252.7709668816369,14421.313,43.10035861659534,1
47,A-n21-k4-m3-b1,363.89,289.6975627547704,14412.469000000001,20.388699124798592,3
48,A-n22-k4-m0-b1,493.8899999999999,332.05,14422.61,32.76843021725483,0
49,A-n22-k4-m1-b1,443.2199999999999,302.8220946550738,14418.875,31.67679828187495,1
50,A-n22-k4-m2-b1,443.2199999999999,296.3254444444443,14433.031,33.14258281565715,1
51,A-n22-k4-m3-b1,402.27,292.1030815023288,14411.796,27.38631230210336,3
52,A-n23-k4-m0-b1,521.9699999999999,267.78,14425.750000000002,48.69820104603713,0
53,A-n23-k4-m1-b1,449.12999999999994,274.1097542395422,14416.265000000001,38.968727486575766,1
54,A-n23-k4-m2-b1,454.82,267.3778205000856,14413.796999999999,41.21238720810747,1
55,A-n23-k4-m3-b1,426.61999999999995,252.0930632632637,14424.047,40.909225244183645,2
56,A-n24-k4-m0-b1,513,306.58,14416.015000000001,40.23781676413255,0
57,A-n24-k4-m1-b1,475.0299999999999,284.0044676118649,14419.89,40.213361764127534,1
58,A-n24-k4-m2-b1,474.65,291.8175833333334,14416.25,38.5194178166368,2
59,A-n24-k4-m3-b1,432.38999999999993,290.8116572553777,14418.375,32.74320468665377,3
60,A-n25-k4-m0-b1,560.94,280.52,14426.688,49.991086390701334,0
61,A-n25-k4-m1-b1,550.4399999999999,249.87,14419.967999999999,54.60540658382384,1
62,A-n25-k4-m2-b1,537.6100000000001,266.0768255131728,14434.563,50.50746349339247,2
63,A-n25-k4-m3-b1,525.87,268.5816548386185,14432.016,48.92622609416425,2
64,A-n26-k4-m0-b1,557.6499999999999,326.29,14420.282,41.488388774320796,0
65,A-n26-k4-m1-b1,524.6899999999998,297.1994727010425,14415.858999999999,43.35713036249164,1
66,A-n26-k4-m2-b1,532.13,290.2249382716048,14418.907,45.45976767489057,2
67,A-n26-k4-m3-b1,513.07,281.691060315204,14425.344,45.096953570623114,2
68,A-n32-k5-m0-b1,590.9300000000001,299.89,14419.780999999999,49.251180342849416,0
69,A-n32-k5-m1-b1,557.2199999999999,296.3796310090596,14436.563,46.81102060064972,1
70,A-n32-k5-m2-b1,570.5500000000001,292.3703675045751,14421.155999999999,48.756398649623165,1
71,A-n32-k5-m3-b1,538.1400000000001,290.7874957105279,14419.375000000002,45.96434093162972,2
72,A-n33-k5-m0-b1,549.9,327.47,14416.171999999999,40.44917257683214,0
73,A-n33-k5-m1-b1,549.8999397040138,334.8213313356109,14412.953,39.11231713976363,0
74,A-n33-k5-m2-b1,512.01,320.5979174728164,14412.422,37.384442203703756,1
75,A-n33-k5-m3-b1,512.4799999999999,317.64530052236,14425.281,38.01801035701685,2
76,A-n33-k6-m0-b1,655.8499999999999,366.48,14421.781,44.12136921552183,0
77,A-n33-k6-m1-b1,626.53,378.913114983683,14422.594,39.52195186444655,0
78,A-n33-k6-m2-b1,608.9300000000001,341.1228612987713,14422.343,43.97995478975067,0
79,A-n33-k6-m3-b1,662.7500000000001,329.3077917844371,14427.703,50.31191372547159,2
80,A-n34-k5-m0-b1,564.62,310.81,14421.562,44.952357337678436,0
81,A-n34-k5-m1-b1,606.7900000000001,310.4219474705604,14421.188,48.84194738368129,0
82,A-n34-k5-m2-b1,564.6199475016907,308.4788041034911,14447.280999999999,45.36523098972387,0
83,A-n34-k5-m3-b1,608.3299999999999,302.0790774689823,14426.093,50.342893253828954,0
84,A-n36-k5-m0-b1,607.77,327.44,14421.969,46.124356253187884,0
85,A-n36-k5-m1-b1,553.7,321.7947125147654,14422.515000000001,41.8828404343931,1
86,A-n36-k5-m2-b1,549.05,321.7984708902803,14420.140000000001,41.38995157266545,2
87,A-n36-k5-m3-b1,591.08,327.6459648381594,14420.313,44.56825390164455,3
88,A-n37-k5-m0-b1,462.5,293.15,14429.265,36.616216216216216,0
89,A-n37-k5-m1-b1,463.99000000000007,296.177206466757,14432.797,36.167329798754935,0
90,A-n37-k5-m2-b1,457.65,285.5665990274394,14430.25,37.60152976566384,0
91,A-n37-k5-m3-b1,457.44000000000005,284.8251440026181,14426.329,37.734972017615846,1
92,A-n37-k6-m0-b1,729.59,333.83,14421.75,54.24416453076386,0
93,A-n37-k6-m1-b1,708.43,330.1232049284488,14416.125,53.40073049864505,0
94,A-n37-k6-m2-b1,723.3700000000001,307.9237270898107,14412.655999999999,57.43205730265139,1
95,A-n37-k6-m3-b1,647.2900000000001,307.5232264555701,14438.312000000002,52.49065697669204,2
96,A-n38-k5-m0-b1,562.54,337.05,14420.172,40.084260674796454,0
97,A-n38-k5-m1-b1,562.16,324.7581599847942,14422.967999999999,42.23029742692575,1
98,A-n38-k5-m2-b1,568.749988586654,328.7207285696794,14418.297,42.202947663075705,0
99,A-n38-k5-m3-b1,574.79,324.0679546107111,14419.421,43.619764677410686,0
100,A-n39-k5-m0-b1,669.84,311.45,14416.656,53.50382180819301,0
101,A-n39-k5-m1-b1,601.4800000000001,294.4746531940194,14415.172,51.04165505186883,1
102,A-n39-k5-m2-b1,584.99,294.9922376294546,14415.719000000001,49.57311447555435,1
103,A-n39-k5-m3-b1,584.48,286.985155036752,14418.844,50.899063263627156,1
104,A-n39-k6-m0-b1,619.69,336.4,14410.905999999999,45.71479288031114,0
105,A-n39-k6-m1-b1,622.7800000000001,334.046594057426,14419.656,46.36202285599635,0
106,A-n39-k6-m2-b1,567.7,322.1666393526834,14419.297,43.25054793857965,1
107,A-n39-k6-m3-b1,555.4300000000001,301.5142792156442,14420.579,45.71516136765314,3
